Age,Monthy Earnings,Gender,Home Loan,How much aware are you about solar?,How much do you expect to at least save on your average electricity bill by installing a solar panel system?,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,Which city is your house at?
35-60,1 lakh +,Male,No,4,31% - 40%,Married,4,No,50000- 1 Lac,<25%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,PURULIA
15-25,70000- 1 lakh,Male,No,4,10% - 20%,Single,3,No,Less than 50000,26-50%,Not working,Saving 1000+/month saving on electricity bill after spending 45000/KW,Panchkula
25-35,1 lakh +,Male,Yes,3,31% - 40%,Single,3,No,50000- 1 Lac,<25%,Private,No I'd not like to buy solar,BHUSHANSTEELPLANTTOWNSHIP
25-35,1 lakh +,Male,Yes,5,31% - 40%,Single,3,No,2 Lacs +,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Vishakhapatnam
35-60,1 lakh +,Female,No,3,21% - 30%,Married,3,Yes,Less than 50000,26-50%,Home maket,Saving 1000+/month saving on electricity bill after spending 45000/KW,Visakhapatnam
35-60,1 lakh +,Male,No,4,21% - 30%,Married,3,Yes,Less than 50000,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Khorda
25-35,20000 - 70000,Male,No,3,31% - 40%,Single,3,No,50000- 1 Lac,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Delhi
35-60,1 lakh +,Male,Yes,4,21% - 30%,Married,3,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Delhi
15-25,20000 - 70000,Male,No,4,31% - 40%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mumbai
25-35,Less than 20000,Female,Yes,3,21% - 30%,Single,3,No,50000- 1 Lac,<25%,I am a student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Sambalpur
15-25,1 lakh +,Male,No,4,31% - 40%,Single,5+,No,1 Lac - 2 Lacs,51-75%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mumbai
15-25,20000 - 70000,Female,No,4,21% - 30%,Single,5+,No,Less than 50000,26-50%,Government,No I'd not like to buy solar,Bhubaneswar
35-60,70000- 1 lakh,Female,No,5,>50%,Married,5+,Yes,50000- 1 Lac,51-75%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,CHANDIGARH
15-25,20000 - 70000,Female,No,4,31% - 40%,Single,3,No,Less than 50000,<25%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Mumbai
15-25,1 lakh +,Female,No,5,41% - 50%,Single,3,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mumbai
15-25,Less than 20000,Female,No,5,>50%,Single,1,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhubaneswar
15-25,20000 - 70000,Female,No,4,10% - 20%,Single,4,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Ghaziabad
25-35,70000- 1 lakh,Male,No,4,21% - 30%,Single,3,No,50000- 1 Lac,<25%,Student,No I'd not like to buy solar,Kolkata
25-35,70000- 1 lakh,Male,No,4,10% - 20%,Single,5+,No,50000- 1 Lac,<25%,Business,No I'd not like to buy solar,Mumbai
15-25,70000- 1 lakh,Female,No,4,31% - 40%,Single,5+,No,Less than 50000,<25%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bangalore
15-25,1 lakh +,Male,No,4,31% - 40%,Single,2,No,1 Lac - 2 Lacs,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kandivali
15-25,20000 - 70000,Female,Yes,5,>50%,Single,4,No,Less than 50000,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,VISAKHAPATNAM
35-60,20000 - 70000,Male,No,5,31% - 40%,Married,4,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,BHUBANESWAR
15-25,1 lakh +,Female,No,3,10% - 20%,Single,5+,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhubaneswar
35-60,20000 - 70000,Male,No,4,31% - 40%,Married,5+,Yes,Less than 50000,51-75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhubaneswar
25-35,1 lakh +,Male,Yes,4,41% - 50%,Married,4,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Visakhapatnam
35-60,70000- 1 lakh,Male,No,5,10% - 20%,Married,2,No,50000- 1 Lac,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Kolkata
15-25,1 lakh +,Male,No,4,21% - 30%,Single,2,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhubaneswar
15-25,1 lakh +,Female,No,4,10% - 20%,Single,5+,No,50000- 1 Lac,26-50%,Student ,Saving 1000+/month saving on electricity bill after spending 45000/KW,Kolkata
15-25,1 lakh +,Male,Yes,3,21% - 30%,Single,4,No,50000- 1 Lac,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Malda
15-25,1 lakh +,Female,No,4,21% - 30%,Single,5+,Yes,Less than 50000,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhubaneswar
15-25,1 lakh +,Female,No,5,21% - 30%,Single,4,No,Less than 50000,<25%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
35-60,1 lakh +,Female,Yes,4,41% - 50%,Married,3,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Chandigarh
25-35,20000 - 70000,Female,No,4,41% - 50%,Single,5+,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
15-25,70000- 1 lakh,Female,No,3,31% - 40%,Single,2,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NewDelhi
15-25,70000- 1 lakh,Male,No,4,21% - 30%,Single,5+,No,50000- 1 Lac,51-75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,VISAKHAPATNAM
35-60,70000- 1 lakh,Male,Yes,1,21% - 30%,Married,2,No,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Newdelhi
25-35,1 lakh +,Male,No,4,21% - 30%,Married,5+,No,50000- 1 Lac,<25%,Private,No I'd not like to buy solar,Visakhapatnam
35-60,1 lakh +,Male,No,5,41% - 50%,Married,5+,Yes,50000- 1 Lac,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NEWDELHI
25-35,20000 - 70000,Female,No,4,21% - 30%,Single,3,No,50000- 1 Lac,26-50%,Private,No I'd not like to buy solar,NewDelhi
25-35,1 lakh +,Female,No,3,31% - 40%,Single,5+,No,Less than 50000,26-50%,Private,No I'd not like to buy solar,Ranchi
25-35,70000- 1 lakh,Female,No,3,31% - 40%,Single,3,No,2 Lacs +,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,VISAKHAPATNAM
35-60,20000 - 70000,Male,Yes,3,10% - 20%,Married,2,No,50000- 1 Lac,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,KOLKATA
15-25,20000 - 70000,Male,No,5,>50%,Single,4,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Dhenkanal
25-35,1 lakh +,Female,No,2,31% - 40%,Single,3,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Cuttack
15-25,1 lakh +,Female,No,4,21% - 30%,Single,5+,Yes,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bengaluru
15-25,1 lakh +,Female,No,3,21% - 30%,Single,4,No,50000- 1 Lac,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,VISAKHAPATNAM
35-60,20000 - 70000,Male,No,5,>50%,Married,2,No,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Kaithal
25-35,70000- 1 lakh,Female,No,1,10% - 20%,Single,5+,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Gurgaon
25-35,20000 - 70000,Male,No,5,>50%,Single,5+,Yes,Less than 50000,>75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
25-35,70000- 1 lakh,Female,No,5,31% - 40%,Single,5+,No,1 Lac - 2 Lacs,51-75%,Private,No I'd not like to buy solar,Delhi
25-35,70000- 1 lakh,Female,No,4,31% - 40%,Single,5+,No,Less than 50000,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,KurmannapalemVisakhapatnam
25-35,1 lakh +,Male,No,5,21% - 30%,Single,4,No,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Mumbai
15-25,70000- 1 lakh,Female,No,2,41% - 50%,Single,3,No,Less than 50000,<25%,-,No I'd not like to buy solar,Gurgaon
15-25,70000- 1 lakh,Female,No,3,10% - 20%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Lucknow
25-35,1 lakh +,Male,No,3,10% - 20%,Single,5+,No,2 Lacs +,<25%,Private,No I'd not like to buy solar,Visakhapatnam
35-60,70000- 1 lakh,Male,Yes,3,31% - 40%,Married,4,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Sadulpur
15-25,20000 - 70000,Male,No,5,41% - 50%,Single,4,No,Less than 50000,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mumbai
15-25,20000 - 70000,Female,No,4,10% - 20%,Single,2,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Visakhapatnam
35-60,1 lakh +,Male,Yes,1,21% - 30%,Married,3,No,Less than 50000,26-50%,Government,No I'd not like to buy solar,Moradabad
15-25,20000 - 70000,Male,No,4,10% - 20%,Single,5+,No,Less than 50000,<25%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Korba
15-25,1 lakh +,Male,No,3,31% - 40%,Single,5+,No,2 Lacs +,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Visakhapatnam
35-60,20000 - 70000,Male,No,4,10% - 20%,Married,3,No,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Sikar
15-25,20000 - 70000,Male,No,4,31% - 40%,Married,2,Yes,50000- 1 Lac,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mumbai
15-25,1 lakh +,Male,No,3,10% - 20%,Single,3,No,Less than 50000,26-50%,Preparing for competitive exams,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Ahmedabad
15-25,1 lakh +,Male,No,5,41% - 50%,Single,5+,No,2 Lacs +,26-50%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Pune
15-25,1 lakh +,Female,No,4,31% - 40%,Single,3,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Sambalpur
15-25,20000 - 70000,Female,No,1,21% - 30%,Single,5+,No,Less than 50000,26-50%,Student ,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhubaneswar
25-35,1 lakh +,Male,No,5,21% - 30%,Single,5+,No,Less than 50000,51-75%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,VISAKHAPATNAM
25-35,70000- 1 lakh,Female,Yes,4,21% - 30%,Married,2,No,Less than 50000,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
15-25,70000- 1 lakh,Female,No,4,21% - 30%,Single,2,No,Less than 50000,<25%,None,No I'd not like to buy solar,Bhubaneswar
25-35,1 lakh +,Male,Yes,5,21% - 30%,Single,3,No,1 Lac - 2 Lacs,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Sambalpur
15-25,1 lakh +,Male,No,5,10% - 20%,Single,5+,No,50000- 1 Lac,<25%,Jobless,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhubaneswar
15-25,70000- 1 lakh,Female,No,5,21% - 30%,Single,3,No,Less than 50000,26-50%,-,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhadrak
25-35,20000 - 70000,Female,No,2,31% - 40%,Single,5+,No,Less than 50000,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhubaneswar
15-25,70000- 1 lakh,Female,Yes,5,21% - 30%,Single,4,No,Less than 50000,<25%,Semi government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
25-35,20000 - 70000,Male,Yes,5,21% - 30%,Single,2,Yes,50000- 1 Lac,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Sambalpur
15-25,20000 - 70000,Male,Yes,4,41% - 50%,Single,5+,Yes,1 Lac - 2 Lacs,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhubaneswar
15-25,70000- 1 lakh,Male,Yes,5,31% - 40%,Single,5+,No,Less than 50000,26-50%,Private,No I'd not like to buy solar,VISAKHAPATNAM
35-60,1 lakh +,Male,No,2,41% - 50%,Married,5+,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhubaneswar
35-60,20000 - 70000,Female,Yes,1,21% - 30%,Married,5+,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Jamshedpur
15-25,70000- 1 lakh,Male,Yes,4,21% - 30%,Single,3,No,Less than 50000,26-50%,Mba ,No I'd not like to buy solar,Raipur
15-25,1 lakh +,Male,Yes,5,21% - 30%,Single,4,No,50000- 1 Lac,51-75%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bengaluru
15-25,1 lakh +,Female,No,3,31% - 40%,Single,5+,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Visakhapatnam
35-60,70000- 1 lakh,Male,No,4,>50%,Married,4,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Angul
35-60,1 lakh +,Male,Yes,4,21% - 30%,Married,5+,No,50000- 1 Lac,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Sambalpur
15-25,1 lakh +,Male,No,5,31% - 40%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Pune
15-25,1 lakh +,Male,No,5,21% - 30%,Single,3,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hoshiarpur
15-25,1 lakh +,Male,No,2,41% - 50%,Single,5+,No,1 Lac - 2 Lacs,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Patna
15-25,20000 - 70000,Female,No,3,31% - 40%,Single,4,Yes,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,BHUBANESWAR
25-35,70000- 1 lakh,Male,No,4,21% - 30%,Single,3,No,1 Lac - 2 Lacs,51-75%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhubaneswar
25-35,20000 - 70000,Male,No,4,10% - 20%,Single,2,Yes,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Chittor
15-25,1 lakh +,Male,No,1,21% - 30%,Single,5+,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Sambalpur
15-25,20000 - 70000,Male,No,5,31% - 40%,Single,5+,No,Less than 50000,>75%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hubli
15-25,20000 - 70000,Female,No,5,21% - 30%,Single,3,No,50000- 1 Lac,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhubaneswar
25-35,1 lakh +,Female,No,2,21% - 30%,Single,4,No,50000- 1 Lac,26-50%,Student ,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bangalore
15-25,70000- 1 lakh,Female,No,5,31% - 40%,Single,5+,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,bhubaneswar
15-25,70000- 1 lakh,Female,No,5,31% - 40%,Single,2,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Guwahati
25-35,20000 - 70000,Female,No,5,10% - 20%,Single,3,Yes,Less than 50000,<25%,Student,No I'd not like to buy solar,Rourkelaodisha
15-25,20000 - 70000,Female,No,3,>50%,Single,3,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Sambalpur
15-25,20000 - 70000,Male,No,3,10% - 20%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bangalore
15-25,1 lakh +,Female,No,5,41% - 50%,Single,3,No,50000- 1 Lac,>75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Gonda
15-25,Less than 20000,Male,No,2,10% - 20%,Single,2,No,Less than 50000,<25%,NA,No I'd not like to buy solar,Sambalpur
25-35,20000 - 70000,Female,No,1,41% - 50%,Single,5+,No,Less than 50000,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhubaneswar
25-35,Less than 20000,Male,Yes,4,31% - 40%,Single,1,No,50000- 1 Lac,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
15-25,1 lakh +,Male,No,5,31% - 40%,Single,2,No,50000- 1 Lac,>75%,Crony Capitalism,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
25-35,1 lakh +,Male,No,5,21% - 30%,Single,2,Depedns on DDA Orders ,Less than 50000,51-75%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Visakhapatnam
35-60,1 lakh +,Male,Yes,3,41% - 50%,Married,3,No,50000- 1 Lac,>75%,Public Sector Undertaking,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhopal
15-25,20000 - 70000,Male,No,5,31% - 40%,Single,4,No,50000- 1 Lac,<25%,Unemployed,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Somewhere
15-25,1 lakh +,Male,No,5,41% - 50%,Single,5+,Yes,50000- 1 Lac,51-75%,Private,No I'd not like to buy solar,Hyderabad
35-60,1 lakh +,Male,Yes,5,10% - 20%,Married,4,No,Less than 50000,<25%,MNC,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Rourkela
25-35,1 lakh +,Male,No,1,31% - 40%,Single,3,No,2 Lacs +,26-50%,Private,No I'd not like to buy solar,Vizag
35-60,70000- 1 lakh,Male,Yes,2,10% - 20%,Married,3,No,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Chennai
25-35,70000- 1 lakh,Male,Yes,5,21% - 30%,Married,5+,No,50000- 1 Lac,>75%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NewDelhi
15-25,Less than 20000,Male,Yes,5,21% - 30%,Single,2,Maybe,Less than 50000,26-50%,Private,No I'd not like to buy solar,Panchkula
15-25,1 lakh +,Female,No,3,21% - 30%,Single,3,No,Less than 50000,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,VISAKHAPATNAM
35-60,20000 - 70000,Male,Yes,4,>50%,Married,3,No,Less than 50000,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,BHANJANAGAR
15-25,20000 - 70000,Male,Yes,5,31% - 40%,Single,5+,Yes,Less than 50000,26-50%,Business,No I'd not like to buy solar,Pune
15-25,1 lakh +,Male,No,4,31% - 40%,Single,3,No,1 Lac - 2 Lacs,51-75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Pune
15-25,1 lakh +,Female,No,3,31% - 40%,Single,3,No,50000- 1 Lac,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Chandigarh
15-25,70000- 1 lakh,Female,No,3,10% - 20%,Single,3,No,Less than 50000,26-50%,Nil,Saving 1000+/month saving on electricity bill after spending 45000/KW,VIZAG
35-60,20000 - 70000,Male,Yes,3,21% - 30%,Married,3,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Delhi
15-25,1 lakh +,Male,No,2,21% - 30%,Single,4,No,2 Lacs +,<25%,Student ,Saving 1000+/month saving on electricity bill after spending 45000/KW,NewDelhi
15-25,20000 - 70000,Female,No,2,41% - 50%,Single,3,No,Less than 50000,<25%,Student ,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NewDelhi
25-35,1 lakh +,Male,No,3,31% - 40%,Married,5+,No,50000- 1 Lac,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NewDelhi
25-35,70000- 1 lakh,Male,Yes,2,10% - 20%,Single,4,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Visakhapatnam
35-60,70000- 1 lakh,Male,Yes,5,31% - 40%,Married,2,No,1 Lac - 2 Lacs,51-75%,public sector,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhubaneswar
15-25,20000 - 70000,Female,No,5,21% - 30%,Single,3,No,Less than 50000,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Delhi
15-25,20000 - 70000,Male,No,5,>50%,Single,4,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
15-25,1 lakh +,Male,No,3,>50%,Single,5+,No,50000- 1 Lac,26-50%,student,No I'd not like to buy solar,Pune
15-25,20000 - 70000,Male,No,4,21% - 30%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Vishakapattam
35-60,70000- 1 lakh,Male,Yes,3,21% - 30%,Married,5+,Yes,50000- 1 Lac,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,NewDelhi
15-25,20000 - 70000,Male,No,5,41% - 50%,Single,5+,No,50000- 1 Lac,26-50%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,BBSR
15-25,1 lakh +,Female,No,3,>50%,Single,5+,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,DELHI
15-25,70000- 1 lakh,Male,No,2,>50%,Single,5+,No,Less than 50000,26-50%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,newdelhi
15-25,70000- 1 lakh,Female,No,5,31% - 40%,Single,3,No,Less than 50000,51-75%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
35-60,70000- 1 lakh,Female,No,3,31% - 40%,Married,4,No,Less than 50000,26-50%,Housewife,Saving 1000+/month saving on electricity bill after spending 45000/KW,NewDelhi
25-35,70000- 1 lakh,Female,No,5,31% - 40%,Single,2,No,50000- 1 Lac,<25%,XIMB,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Visakhapatnam
35-60,1 lakh +,Male,Yes,4,21% - 30%,Married,2,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mohali
60+,20000 - 70000,Male,No,4,>50%,Married,5+,No,2 Lacs +,<25%,Private,No I'd not like to buy solar,Mumbai
15-25,1 lakh +,Female,No,3,41% - 50%,Single,3,No,50000- 1 Lac,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Cuttack
25-35,1 lakh +,Male,No,5,31% - 40%,Single,5+,No,50000- 1 Lac,51-75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Cuttack
25-35,1 lakh +,Male,No,3,21% - 30%,Single,4,No,50000- 1 Lac,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhubaneswar
25-35,20000 - 70000,Female,No,2,>50%,Single,5+,No,Less than 50000,<25%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhubaneswar
25-35,20000 - 70000,Male,Yes,5,21% - 30%,Single,4,Yes,50000- 1 Lac,26-50%,Educational,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,1 lakh +,Male,No,4,10% - 20%,Single,3,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Faridabad
15-25,1 lakh +,Male,No,3,31% - 40%,Single,5+,Yes,Less than 50000,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bhubaneswar
15-25,70000- 1 lakh,Male,Yes,5,21% - 30%,Single,5+,No,50000- 1 Lac,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Kolkata
25-35,20000 - 70000,Male,No,4,21% - 30%,Single,3,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Noida
25-35,20000 - 70000,Male,No,3,10% - 20%,Single,3,No,Less than 50000,<25%,Business,No I'd not like to buy solar,Chicago
35-60,1 lakh +,Female,No,4,31% - 40%,Married,2,No,1 Lac - 2 Lacs,<25%,Private,No I'd not like to buy solar,Moga
35-60,1 lakh +,Female,No,3,21% - 30%,Married,5+,No,50000- 1 Lac,26-50%,Home maker,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Jharsuguda
15-25,70000- 1 lakh,Male,No,4,10% - 20%,Single,5+,No,Less than 50000,>75%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Faridabad
15-25,70000- 1 lakh,Female,No,2,21% - 30%,Single,3,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhubaneswar
25-35,1 lakh +,Male,Yes,4,31% - 40%,Single,5+,No,50000- 1 Lac,<25%,XIMB,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,SanJose
25-35,20000 - 70000,Female,No,4,21% - 30%,Married,2,No,50000- 1 Lac,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Ludhiana
35-60,1 lakh +,Female,No,5,>50%,Married,5+,Yes,50000- 1 Lac,<25%,Private,No I'd not like to buy solar,Delhi
35-60,1 lakh +,Female,No,4,21% - 30%,Married,4,No,1 Lac - 2 Lacs,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,NewDelhi
15-25,1 lakh +,Male,No,5,21% - 30%,Single,4,No,50000- 1 Lac,26-50%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Delhi
35-60,Less than 20000,Female,Yes,5,21% - 30%,Married,3,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NewDelhi
15-25,1 lakh +,Male,No,3,21% - 30%,Single,5+,No,Less than 50000,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,visakhaptnam
25-35,20000 - 70000,Male,No,4,10% - 20%,Married,2,No,Less than 50000,26-50%,PSU,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bangalore
25-35,70000- 1 lakh,Female,No,4,31% - 40%,Married,3,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Delhi
