Age,Monthy Earnings,Gender,Home Loan ,How much aware are you about solar?,Expected savings upon installing,Marital Status,Rooms,New Floor,Percentage of roof dedicated,Workplace,Would you like to go for solar
1 lakh +,Male,No,5,41% - 50%,Single,0,Yes,Less than 50000,1,1,0
1 lakh +,Male,No,5,10% - 20%,Single,0,No,50000- 1 Lac,0,1,2
20000 - 70000,Female,No,4,21% - 30%,Single,0,No,Less than 50000,0,3,2
20000 - 70000,Female,No,4,31% - 40%,Single,0,No,Less than 50000,0,1,2
70000- 1 lakh,Male,Yes,5,10% - 20%,Single,0,No,Less than 50000,0,0,2
20000 - 70000,Female,No,5,>50%,Single,0,No,50000- 1 Lac,3,1,2
1 lakh +,Female,No,5,10% - 20%,Single,0,No,50000- 1 Lac,2,1,3
1 lakh +,Male,Yes,4,21% - 30%,Single,0,No,50000- 1 Lac,1,1,2
1 lakh +,Male,No,5,31% - 40%,Single,0,No,1 Lac - 2 Lacs,3,0,2
70000- 1 lakh,Male,Yes,5,21% - 30%,Single,0,No,Less than 50000,1,1,2
20000 - 70000,Female,Yes,2,31% - 40%,Single,0,No,50000- 1 Lac,0,1,3
1 lakh +,Male,No,4,31% - 40%,Single,0,No,50000- 1 Lac,2,3,0
Less than 20000,Male,No,4,41% - 50%,Married,0,No,Less than 50000,1,1,0
20000 - 70000,Male,No,2,41% - 50%,Single,0,No,Less than 50000,1,1,3
70000- 1 lakh,Male,No,3,21% - 30%,Single,0,No,50000- 1 Lac,0,1,3
70000- 1 lakh,Male,No,5,21% - 30%,Single,0,No,Less than 50000,0,1,0
1 lakh +,Male,No,3,21% - 30%,Single,0,No,Less than 50000,0,1,2
20000 - 70000,Female,No,5,31% - 40%,Single,0,No,50000- 1 Lac,1,3,2
1 lakh +,Female,No,5,21% - 30%,Single,0,No,50000- 1 Lac,2,0,2
70000- 1 lakh,Male,No,5,21% - 30%,Single,0,No,Less than 50000,0,1,2
20000 - 70000,Female,No,3,21% - 30%,Single,0,No,Less than 50000,1,0,2
1 lakh +,Male,No,4,21% - 30%,Single,0,No,Less than 50000,0,1,2
70000- 1 lakh,Male,Yes,5,21% - 30%,Married,0,No,Less than 50000,1,2,3
Less than 20000,Male,No,5,21% - 30%,Single,0,No,Less than 50000,3,1,0
1 lakh +,Male,No,3,31% - 40%,Single,0,No,1 Lac - 2 Lacs,3,3,3
1 lakh +,Female,No,4,>50%,Single,0,No,Less than 50000,1,0,2
70000- 1 lakh,Male,No,4,21% - 30%,Single,0,No,Less than 50000,1,1,2
1 lakh +,Female,Yes,3,31% - 40%,Single,0,No,50000- 1 Lac,2,1,2
1 lakh +,Male,No,3,21% - 30%,Single,0,No,50000- 1 Lac,1,0,3
20000 - 70000,Male,No,4,21% - 30%,Single,0,No,50000- 1 Lac,0,1,2
20000 - 70000,Male,No,3,31% - 40%,Single,0,Maybe in future,Less than 50000,2,1,0
20000 - 70000,Female,No,4,41% - 50%,Married,0,No,Less than 50000,0,2,0
20000 - 70000,Male,Yes,3,10% - 20%,Single,0,No,Less than 50000,0,2,0
20000 - 70000,Female,Yes,3,21% - 30%,Single,0,No,Less than 50000,0,0,3
20000 - 70000,Male,No,2,31% - 40%,Single,0,Yes,Less than 50000,1,1,3
1 lakh +,Male,No,5,21% - 30%,Single,0,No,Less than 50000,0,0,2
70000- 1 lakh,Male,No,5,21% - 30%,Single,0,No,50000- 1 Lac,2,1,3
1 lakh +,Male,No,4,41% - 50%,Single,0,No,Less than 50000,0,1,0
20000 - 70000,Male,No,3,31% - 40%,Single,0,No,50000- 1 Lac,3,1,2
1 lakh +,Male,Yes,5,21% - 30%,Single,0,No,1 Lac - 2 Lacs,1,3,3
70000- 1 lakh,Female,No,5,21% - 30%,Married,0,No,50000- 1 Lac,0,3,2
70000- 1 lakh,Male,No,3,>50%,Single,0,No,Less than 50000,1,0,0
20000 - 70000,Male,No,4,31% - 40%,Single,0,No,50000- 1 Lac,3,1,3
1 lakh +,Male,Yes,3,31% - 40%,Married,0,No,50000- 1 Lac,2,2,3
20000 - 70000,Male,No,4,10% - 20%,Single,0,No,Less than 50000,0,1,3
20000 - 70000,Male,No,4,21% - 30%,Single,0,No,50000- 1 Lac,1,0,2
20000 - 70000,Male,No,3,10% - 20%,Single,0,No,Less than 50000,0,0,3
1 lakh +,Female,Yes,3,41% - 50%,Single,0,No,Less than 50000,0,1,2
20000 - 70000,Female,No,3,21% - 30%,Single,0,No,Less than 50000,0,0,3
20000 - 70000,Male,No,5,21% - 30%,Single,0,My job ,Less than 50000,1,3,2
20000 - 70000,Female,No,3,31% - 40%,Single,0,No,Less than 50000,0,0,2
1 lakh +,Female,No,1,>50%,Nahi bolunga,0,Yes,2 Lacs +,3,3,0
1 lakh +,Male,No,2,31% - 40%,Married,0,No,Less than 50000,3,2,3
1 lakh +,Female,No,4,31% - 40%,Single,0,No,Less than 50000,2,0,3
70000- 1 lakh,Female,No,5,41% - 50%,Single,0,No,1 Lac - 2 Lacs,1,3,2
70000- 1 lakh,Male,Yes,5,>50%,Single,0,No,Less than 50000,0,1,0
1 lakh +,Female,No,4,31% - 40%,Single,0,No,Less than 50000,1,1,3
70000- 1 lakh,Female,Yes,4,10% - 20%,Single,0,Yes,Less than 50000,3,0,2
1 lakh +,Male,Yes,5,>50%,Married,0,Yes,2 Lacs +,2,2,3
20000 - 70000,Female,Yes,3,31% - 40%,Single,0,Yes,50000- 1 Lac,2,1,2
20000 - 70000,Male,No,4,10% - 20%,Single,0,No,Less than 50000,0,1,2
1 lakh +,Female,No,5,41% - 50%,Single,0,No,Less than 50000,3,1,2
70000- 1 lakh,Male,Yes,2,21% - 30%,Single,0,Yes,Less than 50000,1,0,2
1 lakh +,Female,No,3,31% - 40%,Single,0,No,Less than 50000,0,2,2
20000 - 70000,Female,No,2,21% - 30%,Single,0,No,1 Lac - 2 Lacs,0,1,2
1 lakh +,Male,No,4,10% - 20%,Single,0,No,1 Lac - 2 Lacs,1,0,3
70000- 1 lakh,Female,No,3,>50%,Single,0,No,Less than 50000,1,1,3
20000 - 70000,Female,Yes,2,10% - 20%,Married,0,No,Less than 50000,1,0,3
1 lakh +,Female,No,4,31% - 40%,Single,0,No,50000- 1 Lac,1,1,3
1 lakh +,Male,No,5,21% - 30%,Single,0,No,1 Lac - 2 Lacs,0,3,3
70000- 1 lakh,Female,Yes,5,31% - 40%,Single,0,Yes,Less than 50000,0,1,2
1 lakh +,Female,Yes,4,>50%,Married,0,No,50000- 1 Lac,2,2,2
20000 - 70000,Male,No,4,31% - 40%,Single,0,No,1 Lac - 2 Lacs,2,1,3
1 lakh +,Female,No,2,41% - 50%,Single,0,No,Less than 50000,0,0,3
20000 - 70000,Male,No,4,31% - 40%,Single,0,No,50000- 1 Lac,0,3,0
1 lakh +,Male,No,5,41% - 50%,Married,0,No,50000- 1 Lac,0,2,3
1 lakh +,Male,No,5,>50%,Single,0,No,50000- 1 Lac,2,2,3
Less than 20000,Male,Yes,4,31% - 40%,Single,0,Budget,Less than 50000,1,0,3
70000- 1 lakh,Female,Yes,2,41% - 50%,Single,0,Yes,1 Lac - 2 Lacs,1,1,2
1 lakh +,Female,Yes,3,>50%,Single,0,No,1 Lac - 2 Lacs,1,0,3
20000 - 70000,Male,No,3,41% - 50%,Single,0,Yes,Less than 50000,2,2,2
70000- 1 lakh,Male,No,5,41% - 50%,Single,0,No,Less than 50000,1,1,3
20000 - 70000,Male,No,3,41% - 50%,Married,0,Not yet decided,Less than 50000,0,2,2
Less than 20000,Female,No,2,41% - 50%,Single,0,No,Less than 50000,1,1,2
1 lakh +,Female,No,5,21% - 30%,Single,0,No,50000- 1 Lac,3,0,0
20000 - 70000,Female,No,4,21% - 30%,Single,0,No,Less than 50000,0,1,3
1 lakh +,Female,Yes,4,21% - 30%,Single,0,No,Less than 50000,0,2,2
70000- 1 lakh,Male,No,5,31% - 40%,Single,0,No,50000- 1 Lac,1,3,3
1 lakh +,Male,Yes,3,>50%,Married,0,No,2 Lacs +,1,1,0
1 lakh +,Male,No,4,21% - 30%,Married,0,No,Less than 50000,1,1,3
1 lakh +,Female,Yes,1,31% - 40%,Married,0,No,Less than 50000,2,2,2
1 lakh +,Female,No,3,31% - 40%,Single,0,No,Less than 50000,1,1,3
20000 - 70000,Female,No,3,10% - 20%,Single,0,No,Less than 50000,0,1,0
20000 - 70000,Female,Yes,2,31% - 40%,Single,0,No,Less than 50000,0,0,3
1 lakh +,Female,No,3,10% - 20%,Single,0,No,Less than 50000,0,1,2
20000 - 70000,Female,No,3,10% - 20%,Single,0,No,Less than 50000,0,1,0
1 lakh +,Male,Yes,3,21% - 30%,Married,0,No,Less than 50000,0,1,3
Less than 20000,Male,No,5,31% - 40%,Single,0,No,Less than 50000,1,2,0
20000 - 70000,Female,Yes,4,10% - 20%,Single,0,No,Less than 50000,0,1,3
20000 - 70000,Female,Yes,3,31% - 40%,Single,0,No,Less than 50000,0,0,3
70000- 1 lakh,Female,No,3,31% - 40%,Single,0,No,50000- 1 Lac,0,0,3
20000 - 70000,Female,No,3,21% - 30%,Single,0,No,50000- 1 Lac,1,1,2
1 lakh +,Female,No,5,10% - 20%,Single,0,Yes,Less than 50000,0,0,3
70000- 1 lakh,Female,No,3,21% - 30%,Single,0,No,Less than 50000,1,3,2
1 lakh +,Female,No,2,>50%,Married,0,No,Less than 50000,0,0,0
20000 - 70000,Male,No,4,21% - 30%,Single,0,No,Less than 50000,2,1,2
70000- 1 lakh,Male,No,5,>50%,Single,0,Yes,50000- 1 Lac,2,2,3
1 lakh +,Male,No,5,21% - 30%,Single,0,No,50000- 1 Lac,0,0,3
20000 - 70000,Male,No,3,41% - 50%,Single,0,No,50000- 1 Lac,1,0,2
1 lakh +,Female,No,5,21% - 30%,Single,0,No,Less than 50000,1,2,0
20000 - 70000,Female,Yes,3,21% - 30%,Single,0,No,1 Lac - 2 Lacs,1,0,3
Less than 20000,Female,No,4,31% - 40%,Single,0,No,50000- 1 Lac,1,1,3
70000- 1 lakh,Male,No,4,21% - 30%,Single,0,Yes,50000- 1 Lac,0,0,2
Less than 20000,Male,No,4,41% - 50%,Single,0,Yes,50000- 1 Lac,2,0,2
20000 - 70000,Female,No,4,21% - 30%,Single,0,No,50000- 1 Lac,0,1,2
20000 - 70000,Female,No,4,31% - 40%,Single,0,No,Less than 50000,2,0,2
1 lakh +,Female,No,4,>50%,Single,0,No,Less than 50000,0,3,0
1 lakh +,Female,No,3,31% - 40%,Single,0,No,1 Lac - 2 Lacs,1,0,2
20000 - 70000,Male,No,5,31% - 40%,Single,0,No,1 Lac - 2 Lacs,1,0,0
70000- 1 lakh,Male,No,3,21% - 30%,Single,0,No,Less than 50000,0,1,3
70000- 1 lakh,Female,Yes,3,21% - 30%,Single,0,No,Less than 50000,1,0,2
1 lakh +,Male,Yes,5,31% - 40%,Single,0,No,50000- 1 Lac,2,0,2
20000 - 70000,Female,No,2,31% - 40%,Single,0,No,Less than 50000,0,1,3
70000- 1 lakh,Female,No,5,>50%,Single,0,Yes,50000- 1 Lac,0,3,3
70000- 1 lakh,Male,No,3,31% - 40%,Single,0,No,50000- 1 Lac,2,1,3
1 lakh +,Female,No,2,41% - 50%,Single,0,No,Less than 50000,0,1,3
20000 - 70000,Female,No,3,21% - 30%,Single,0,No,Less than 50000,0,0,2
70000- 1 lakh,Female,No,3,41% - 50%,Single,0,No,50000- 1 Lac,1,0,2
1 lakh +,Male,Yes,3,31% - 40%,Married,0,No,1 Lac - 2 Lacs,1,1,2
1 lakh +,Female,No,5,21% - 30%,Single,0,No,1 Lac - 2 Lacs,1,1,2
20000 - 70000,Male,No,2,10% - 20%,Single,0,No,Less than 50000,1,3,2
1 lakh +,Male,No,5,41% - 50%,Single,0,No,50000- 1 Lac,3,2,0
70000- 1 lakh,Female,Yes,4,>50%,Single,0,No,50000- 1 Lac,3,1,2
20000 - 70000,Male,Yes,4,41% - 50%,Single,0,No,2 Lacs +,1,2,2
20000 - 70000,Female,No,3,31% - 40%,Single,0,No,Less than 50000,0,1,3
1 lakh +,Male,No,5,21% - 30%,Married,0,No,50000- 1 Lac,0,0,2
1 lakh +,Male,No,2,10% - 20%,Single,0,Yes,Less than 50000,3,1,0
20000 - 70000,Female,No,2,21% - 30%,Single,0,No,Less than 50000,0,1,0
1 lakh +,Male,No,4,41% - 50%,Married,0,No,Less than 50000,0,3,3
20000 - 70000,Female,No,4,10% - 20%,Single,0,No,Less than 50000,0,3,3
70000- 1 lakh,Female,Yes,4,21% - 30%,Single,0,No,50000- 1 Lac,1,2,3
20000 - 70000,Male,No,4,21% - 30%,Single,0,No,50000- 1 Lac,1,1,3
1 lakh +,Male,No,5,>50%,Single,0,No,50000- 1 Lac,1,1,2
1 lakh +,Female,No,4,41% - 50%,Single,0,No,50000- 1 Lac,0,1,0
1 lakh +,Male,No,4,21% - 30%,Single,0,No,50000- 1 Lac,1,1,2
Less than 20000,Male,Yes,1,21% - 30%,Single,0,No,Less than 50000,1,2,3
20000 - 70000,Male,No,5,31% - 40%,Single,0,No,Less than 50000,1,0,3
20000 - 70000,Female,No,2,21% - 30%,Single,0,No,Less than 50000,0,0,0
20000 - 70000,Female,No,2,21% - 30%,Single,0,No,Less than 50000,3,1,2
20000 - 70000,Female,No,4,31% - 40%,Single,0,No,Less than 50000,1,0,2
Less than 20000,Male,No,3,21% - 30%,Single,0,No,50000- 1 Lac,1,1,3
70000- 1 lakh,Male,Yes,5,>50%,Single,0,No,1 Lac - 2 Lacs,3,0,2
1 lakh +,Male,No,3,>50%,Married,0,No,50000- 1 Lac,1,3,3
20000 - 70000,Male,No,5,41% - 50%,Married,0,No,Less than 50000,0,3,2
20000 - 70000,Female,No,4,21% - 30%,Single,0,No,Less than 50000,1,0,0
20000 - 70000,Female,No,5,>50%,Single,0,No,Less than 50000,1,1,3
20000 - 70000,Male,No,3,>50%,Single,0,No,1 Lac - 2 Lacs,1,0,2
20000 - 70000,Male,No,4,21% - 30%,Married,0,No,50000- 1 Lac,1,1,2
1 lakh +,Female,No,3,41% - 50%,Married,0,No,Less than 50000,1,1,3
20000 - 70000,Male,No,3,41% - 50%,Single,0,No,50000- 1 Lac,1,2,0
1 lakh +,Male,Yes,3,41% - 50%,Single,0,No,50000- 1 Lac,1,1,3
20000 - 70000,Male,No,5,41% - 50%,Single,0,No,Less than 50000,2,2,0
20000 - 70000,Male,No,4,10% - 20%,Married,0,No,Less than 50000,0,0,3
20000 - 70000,Female,Yes,3,41% - 50%,Single,0,No,Less than 50000,1,0,3
1 lakh +,Female,No,4,10% - 20%,Married,0,No,Less than 50000,0,1,2
1 lakh +,Male,No,4,41% - 50%,Single,0,Yes,Less than 50000,1,1,0
1 lakh +,Male,Yes,5,10% - 20%,Married,0,No,50000- 1 Lac,0,1,3
1 lakh +,Female,No,4,21% - 30%,Single,0,No,50000- 1 Lac,0,0,0
20000 - 70000,Male,No,5,41% - 50%,Single,0,No,Less than 50000,0,2,3
70000- 1 lakh,Male,No,2,21% - 30%,Single,0,No,1 Lac - 2 Lacs,2,3,2
70000- 1 lakh,Male,No,5,10% - 20%,Single,0,No,Less than 50000,0,0,0
Less than 20000,Female,No,5,31% - 40%,Single,0,Yes,Less than 50000,1,0,3
1 lakh +,Male,No,2,21% - 30%,Single,0,No,Less than 50000,1,1,3
20000 - 70000,Male,No,3,21% - 30%,Single,0,No,1 Lac - 2 Lacs,1,1,2
1 lakh +,Female,No,4,21% - 30%,Single,0,No,50000- 1 Lac,1,0,3
70000- 1 lakh,Male,No,4,>50%,Single,0,No,Less than 50000,1,0,3
1 lakh +,Male,No,5,>50%,Single,0,No,Less than 50000,2,2,3
1 lakh +,Male,No,4,21% - 30%,Married,0,No,Less than 50000,0,3,3
20000 - 70000,Male,No,3,31% - 40%,Single,0,No,Less than 50000,1,1,2
20000 - 70000,Male,No,4,21% - 30%,Single,0,No,50000- 1 Lac,1,1,3
70000- 1 lakh,Male,No,4,31% - 40%,Single,0,No,Less than 50000,0,2,2
20000 - 70000,Female,No,4,31% - 40%,Married,0,No,Less than 50000,2,1,2
20000 - 70000,Male,No,4,31% - 40%,Single,0,No,1 Lac - 2 Lacs,0,0,2
70000- 1 lakh,Female,No,4,21% - 30%,Married,0,No,50000- 1 Lac,1,0,3
1 lakh +,Male,No,5,41% - 50%,Single,0,Yes,50000- 1 Lac,2,0,3
1 lakh +,Male,No,5,21% - 30%,Single,0,No,Less than 50000,3,1,2
70000- 1 lakh,Female,No,3,31% - 40%,Single,0,No,Less than 50000,0,0,2
1 lakh +,Male,No,5,21% - 30%,Married,0,No,50000- 1 Lac,0,1,2
20000 - 70000,Male,No,3,21% - 30%,Single,0,No,1 Lac - 2 Lacs,2,1,0
20000 - 70000,Male,No,4,31% - 40%,Single,0,Yes,Less than 50000,1,2,2
70000- 1 lakh,Male,No,3,41% - 50%,Single,0,No,1 Lac - 2 Lacs,1,0,3
20000 - 70000,Female,No,5,31% - 40%,Single,0,No,Less than 50000,1,0,0
70000- 1 lakh,Male,No,5,21% - 30%,Single,0,Yes,50000- 1 Lac,0,1,3
1 lakh +,Male,Yes,4,>50%,Married,0,No,2 Lacs +,1,1,2
1 lakh +,Male,No,3,31% - 40%,Single,0,Yes,Less than 50000,2,0,3
70000- 1 lakh,Female,Yes,3,10% - 20%,Single,0,No,Less than 50000,0,1,0
1 lakh +,Female,No,5,31% - 40%,Single,0,No,50000- 1 Lac,1,0,2
1 lakh +,Female,Yes,3,21% - 30%,Married,0,No,1 Lac - 2 Lacs,1,1,2
20000 - 70000,Female,No,3,41% - 50%,Single,0,Yes,Less than 50000,0,1,2
1 lakh +,Female,No,5,10% - 20%,Single,0,No,2 Lacs +,0,0,3
20000 - 70000,Male,Yes,4,31% - 40%,Married,0,No,Less than 50000,1,3,2
Less than 20000,Male,No,4,21% - 30%,Single,0,No,Less than 50000,0,2,2
70000- 1 lakh,Female,No,4,21% - 30%,Single,0,Yes,50000- 1 Lac,1,0,2
70000- 1 lakh,Female,No,1,21% - 30%,Married,0,No,Less than 50000,1,1,3
1 lakh +,Male,No,5,>50%,Single,0,No,1 Lac - 2 Lacs,3,1,3
70000- 1 lakh,Male,No,4,21% - 30%,Single,0,No,Less than 50000,0,1,3
70000- 1 lakh,Female,No,4,21% - 30%,Single,0,No,50000- 1 Lac,1,0,2
20000 - 70000,Male,Yes,2,21% - 30%,Single,0,No,50000- 1 Lac,0,0,0
20000 - 70000,Female,No,4,10% - 20%,Single,0,No,Less than 50000,1,1,3
20000 - 70000,Male,No,5,41% - 50%,Single,0,Yes,Less than 50000,1,1,2
1 lakh +,Male,No,3,21% - 30%,Single,0,No,50000- 1 Lac,2,0,3
70000- 1 lakh,Female,No,3,31% - 40%,Married,0,No,Less than 50000,0,1,2
20000 - 70000,Male,No,5,31% - 40%,Single,0,No,Less than 50000,1,3,3
20000 - 70000,Male,No,4,21% - 30%,Single,0,No,Less than 50000,1,1,2
20000 - 70000,Male,No,5,21% - 30%,Single,0,Yes,Less than 50000,1,1,0
20000 - 70000,Male,No,4,41% - 50%,Single,0,No,Less than 50000,3,1,0
Less than 20000,Female,Yes,2,41% - 50%,Single,0,No,Less than 50000,1,0,0
20000 - 70000,Female,No,2,31% - 40%,Single,0,No,Less than 50000,0,1,3
1 lakh +,Male,Yes,4,31% - 40%,Single,0,No,Less than 50000,3,1,2
70000- 1 lakh,Female,No,3,31% - 40%,Single,0,No,50000- 1 Lac,1,1,2
1 lakh +,Male,No,3,21% - 30%,Single,0,No,1 Lac - 2 Lacs,0,2,2
Less than 20000,Male,No,2,21% - 30%,Married,0,No,Less than 50000,1,1,0
1 lakh +,Female,Yes,2,41% - 50%,Single,0,Yes,Less than 50000,1,1,3
70000- 1 lakh,Male,No,2,31% - 40%,Single,0,No,50000- 1 Lac,1,2,2
70000- 1 lakh,Female,No,4,31% - 40%,Single,0,No,Less than 50000,0,1,2
20000 - 70000,Male,No,5,21% - 30%,Single,0,No,50000- 1 Lac,0,1,2
1 lakh +,Female,No,5,21% - 30%,Single,0,No,50000- 1 Lac,1,1,2
20000 - 70000,Male,No,5,>50%,Single,0,No,Less than 50000,2,1,3
1 lakh +,Male,Yes,4,41% - 50%,Single,0,No,Less than 50000,2,3,0
70000- 1 lakh,Female,No,5,10% - 20%,Single,0,No,Less than 50000,1,3,0
1 lakh +,Female,Yes,2,21% - 30%,Single,0,No,Less than 50000,0,1,2
20000 - 70000,Male,No,3,31% - 40%,Married,0,No,Less than 50000,1,3,2
20000 - 70000,Male,Yes,5,>50%,Married,0,No,1 Lac - 2 Lacs,3,1,3
20000 - 70000,Male,Yes,5,31% - 40%,Single,0,No,50000- 1 Lac,0,1,0
Less than 20000,Male,No,4,21% - 30%,Single,0,No,1 Lac - 2 Lacs,0,1,2
20000 - 70000,Female,No,5,31% - 40%,Single,0,No,50000- 1 Lac,1,1,2
70000- 1 lakh,Male,Yes,3,10% - 20%,Married,0,No,Less than 50000,0,1,2
Less than 20000,Male,Yes,5,10% - 20%,Single,0,No,Less than 50000,1,1,0
1 lakh +,Male,No,4,31% - 40%,Married,0,No,50000- 1 Lac,0,3,0
70000- 1 lakh,Male,Yes,4,10% - 20%,Single,0,No,50000- 1 Lac,0,1,3
1 lakh +,Female,No,5,>50%,Single,0,Yes,2 Lacs +,3,1,2
Less than 20000,Female,No,1,10% - 20%,Single,0,No,Less than 50000,0,1,3
20000 - 70000,Male,No,3,41% - 50%,Single,0,No,Less than 50000,1,3,3
1 lakh +,Male,Yes,4,31% - 40%,Married,0,No,Less than 50000,1,1,2
20000 - 70000,Male,No,4,21% - 30%,Single,0,No,Less than 50000,0,1,0
1 lakh +,Female,No,3,21% - 30%,Married,0,No,50000- 1 Lac,0,1,2
1 lakh +,Female,No,5,41% - 50%,Single,0,No,50000- 1 Lac,2,1,2
20000 - 70000,Male,No,3,41% - 50%,Married,0,No,Less than 50000,3,3,2
20000 - 70000,Male,No,3,31% - 40%,Single,0,No,50000- 1 Lac,1,2,3
20000 - 70000,Male,No,1,>50%,Single,0,No,50000- 1 Lac,3,1,2
1 lakh +,Female,No,5,10% - 20%,Single,0,No,Less than 50000,0,1,2
20000 - 70000,Female,Yes,1,10% - 20%,Single,0,No,Less than 50000,0,1,0
20000 - 70000,Female,No,5,41% - 50%,Single,0,No,Less than 50000,1,0,2
20000 - 70000,Male,No,1,31% - 40%,Single,0,No,Less than 50000,3,1,2
20000 - 70000,Female,No,4,41% - 50%,Single,0,Yes,Less than 50000,2,1,2
20000 - 70000,Female,No,3,31% - 40%,Single,0,No,Less than 50000,1,1,2
1 lakh +,Female,No,5,41% - 50%,Single,0,Yes,Less than 50000,0,1,3
70000- 1 lakh,Male,No,3,10% - 20%,Single,0,No,50000- 1 Lac,0,0,3
1 lakh +,Male,No,4,41% - 50%,Single,0,No,50000- 1 Lac,2,2,3
20000 - 70000,Male,No,5,31% - 40%,Married,0,No,Less than 50000,2,2,3
20000 - 70000,Male,No,3,21% - 30%,Single,0,No,Less than 50000,1,1,2
1 lakh +,Female,No,2,21% - 30%,Married,0,No,50000- 1 Lac,1,1,2
1 lakh +,Female,No,4,41% - 50%,Married,0,Yes,Less than 50000,0,1,2
20000 - 70000,Female,No,2,31% - 40%,Single,0,No,Less than 50000,0,1,2
70000- 1 lakh,Female,No,5,21% - 30%,Single,0,No,50000- 1 Lac,1,0,0
1 lakh +,Male,Yes,3,31% - 40%,Single,0,No,50000- 1 Lac,1,2,3
20000 - 70000,Male,No,4,41% - 50%,Single,0,No,Less than 50000,1,2,3
20000 - 70000,Female,No,3,21% - 30%,Single,0,No,Less than 50000,1,0,2
70000- 1 lakh,Male,No,1,10% - 20%,Single,0,No,Less than 50000,1,1,2
20000 - 70000,Female,No,4,31% - 40%,Single,0,No,Less than 50000,1,1,3
1 lakh +,Male,No,5,31% - 40%,Single,0,No,Less than 50000,0,1,3
Less than 20000,Male,No,1,41% - 50%,Single,0,Yes,Less than 50000,3,3,3
20000 - 70000,Male,Yes,3,41% - 50%,Married,0,No,2 Lacs +,3,3,2
20000 - 70000,Male,No,5,21% - 30%,Single,0,No,50000- 1 Lac,1,2,2
1 lakh +,Female,No,3,21% - 30%,Single,0,No,50000- 1 Lac,1,3,0
20000 - 70000,Male,No,5,41% - 50%,Married,0,No,50000- 1 Lac,0,1,0
20000 - 70000,Female,No,4,21% - 30%,Single,0,Yes,Less than 50000,3,3,3
1 lakh +,Male,Yes,5,21% - 30%,Married,0,No,50000- 1 Lac,1,3,3
70000- 1 lakh,Female,No,3,41% - 50%,Married,0,No,Less than 50000,1,1,3
1 lakh +,Female,No,3,10% - 20%,Single,0,No,Less than 50000,0,2,3
20000 - 70000,Male,No,2,21% - 30%,Single,0,No,Less than 50000,0,1,2
20000 - 70000,Male,Yes,1,31% - 40%,Married,0,No,Less than 50000,2,1,2
1 lakh +,Female,No,3,41% - 50%,Single,0,No,Less than 50000,1,1,0
20000 - 70000,Female,No,1,31% - 40%,Single,0,No,Less than 50000,0,2,3
1 lakh +,Female,No,1,21% - 30%,Single,0,No,Less than 50000,1,1,2
1 lakh +,Male,No,3,21% - 30%,Single,0,No,50000- 1 Lac,1,0,3
20000 - 70000,Male,No,2,21% - 30%,Married,0,No,1 Lac - 2 Lacs,1,1,3
20000 - 70000,Female,Yes,3,41% - 50%,Single,0,No,50000- 1 Lac,2,0,2
70000- 1 lakh,Female,No,2,>50%,Married,0,No,Less than 50000,0,0,0
1 lakh +,Male,No,3,>50%,Married,0,No,2 Lacs +,2,1,2
70000- 1 lakh,Male,No,3,21% - 30%,Single,0,No,Less than 50000,0,0,3
20000 - 70000,Male,No,2,>50%,Married,0,No,Less than 50000,1,3,2
20000 - 70000,Male,Yes,4,21% - 30%,Married,0,No,Less than 50000,1,3,0
20000 - 70000,Male,No,5,41% - 50%,Single,0,No,Less than 50000,0,0,0
70000- 1 lakh,Female,No,3,21% - 30%,Single,0,No,Less than 50000,1,1,0
1 lakh +,Male,Yes,4,>50%,Married,0,No,50000- 1 Lac,0,1,2
20000 - 70000,Female,No,3,21% - 30%,Married,0,No,Less than 50000,0,1,3
1 lakh +,Male,No,5,10% - 20%,Married,0,No,2 Lacs +,3,3,3
20000 - 70000,Male,No,3,10% - 20%,Married,0,No,Less than 50000,1,3,2
70000- 1 lakh,Male,Yes,4,10% - 20%,Married,0,No,Less than 50000,0,3,3
1 lakh +,Female,No,3,21% - 30%,Married,0,No,Less than 50000,3,1,0
20000 - 70000,Male,No,3,21% - 30%,Married,0,No,50000- 1 Lac,1,1,2
1 lakh +,Male,No,3,21% - 30%,Single,0,Yes,50000- 1 Lac,0,3,3
1 lakh +,Female,No,5,31% - 40%,Married,0,No,50000- 1 Lac,0,2,3
20000 - 70000,Female,No,3,31% - 40%,Single,0,No,Less than 50000,1,1,3
Less than 20000,Male,No,1,10% - 20%,Single,0,No,Less than 50000,0,2,3
70000- 1 lakh,Male,No,5,>50%,Married,0,No,Less than 50000,3,3,3
Less than 20000,Male,No,1,>50%,Single,0,No,Less than 50000,0,1,0
Less than 20000,Female,Yes,3,21% - 30%,Single,0,No,Less than 50000,2,1,3
1 lakh +,Female,No,5,21% - 30%,Single,0,No,Less than 50000,0,1,3
20000 - 70000,Female,No,2,>50%,Single,0,No,Less than 50000,0,0,0
20000 - 70000,Male,No,4,41% - 50%,Single,0,No,Less than 50000,1,0,3
70000- 1 lakh,Male,No,2,>50%,Married,0,No,Less than 50000,0,2,0
Less than 20000,Male,No,3,10% - 20%,Single,0,No,Less than 50000,1,2,3
20000 - 70000,Female,No,3,21% - 30%,Single,0,No,50000- 1 Lac,0,1,2
Less than 20000,Female,No,2,41% - 50%,Single,0,No,Less than 50000,1,0,0
70000- 1 lakh,Female,No,3,31% - 40%,Married,0,No,50000- 1 Lac,1,1,0
